id,sentence
base,"in March 1992 , Linux version 0.95 was the first to be capable of running X . This large version number jump was due to a feeling that a version 1.0 with no major missing pieces was imminent .    "
1,"in March 1992 , Linux version 0.95 was the first to be capable of running X . This large version number jump was due to a feeling that a version 1.0 with no major missing parts was imminent . "
2,"in March 1992 , Linux version 0.95 was the first to be capable of running X . This large version number jump was due to a feeling that a version 1.0 with no major missing bits was imminent .  "
3,"in March 1992 , Linux version 0.95 was the first to be capable of running X . This large version number jump was due to a feeling that a version 1.0 with no major missing components was imminent .    "
4,"in March 1992 , Linux version 0.95 was the first to be capable of running X . This large version number jump was due to a feeling that a version 1.0 with no major missing information was imminent .   "
5,"in March 1992 , Linux version 0.95 was the first to be capable of running X . This large version number jump was due to a feeling that a version 1.0 with no major missing elements was imminent .  "
6,"in March 1992 , Linux version 0.95 was the first to be capable of running X . This large version number jump was due to a feeling that a version 1.0 with no major missing items was imminent . "
7,"in March 1992 , Linux version 0.95 was the first to be capable of running X . This large version number jump was due to a feeling that a version 1.0 with no major missing component was imminent . "
8,"in March 1992 , Linux version 0.95 was the first to be capable of running X . This large version number jump was due to a feeling that a version 1.0 with no major missing part was imminent .  "
9,"in March 1992 , Linux version 0.95 was the first to be capable of running X . This large version number jump was due to a feeling that a version 1.0 with no major missing sections was imminent .  "
base,much of the water carried by these streams is diverted .
1,much of the water carried by these streams is redirected .
2,much of the water carried by these streams is rerouted .
3,much of the water carried by these streams is changed .
4,much of the water carried by these streams is moved .
5,much of the water carried by these streams is separated .
6,much of the water carried by these streams is turned .
7,much of the water carried by these streams is altered .
8,much of the water carried by these streams is split .
9,much of the water carried by these streams is switched .
10,much of the water carried by these streams is veered .
11,much of the water carried by these streams is channeled .
12,much of the water carried by these streams is deflected .
base,"Harry also becomes the worthy possessor of the remaining deathly Hallows : the invisibility cloak and the Resurrection Stone , hence becoming the true Master of Death .    "
1,"Harry also becomes the worthy owner of the remaining deathly Hallows : the invisibility cloak and the Resurrection Stone , hence becoming the true Master of Death .    "
2,"Harry also becomes the worthy holder of the remaining deathly Hallows : the invisibility cloak and the Resurrection Stone , hence becoming the true Master of Death .   "
3,"Harry also becomes the worthy keeper of the remaining deathly Hallows : the invisibility cloak and the Resurrection Stone , hence becoming the true Master of Death .   "
4,"Harry also becomes the worthy buyer of the remaining deathly Hallows : the invisibility cloak and the Resurrection Stone , hence becoming the true Master of Death .    "
5,"Harry also becomes the worthy master of the remaining deathly Hallows : the invisibility cloak and the Resurrection Stone , hence becoming the true Master of Death .   "
6,"Harry also becomes the worthy teacher of the remaining deathly Hallows : the invisibility cloak and the Resurrection Stone , hence becoming the true Master of Death .  "
base,"Escapologists escape from handcuffs , straitjackets , cages , coffins , steel boxes , barrels , bags , burning buildings , fish-tanks and other perils , often in combination . "
1,"Escapologists escape from handcuffs , straitjackets , cages , coffins , steel boxes , barrels , bags , burning buildings , fish-tanks and other dangers , often in combination .    "
2,"Escapologists escape from handcuffs , straitjackets , cages , coffins , steel boxes , barrels , bags , burning buildings , fish-tanks and other hazards , often in combination .    "
3,"Escapologists escape from handcuffs , straitjackets , cages , coffins , steel boxes , barrels , bags , burning buildings , fish-tanks and other situations , often in combination . "
4,"Escapologists escape from handcuffs , straitjackets , cages , coffins , steel boxes , barrels , bags , burning buildings , fish-tanks and other danger , often in combination . "
5,"Escapologists escape from handcuffs , straitjackets , cages , coffins , steel boxes , barrels , bags , burning buildings , fish-tanks and other problems , often in combination .   "
6,"Escapologists escape from handcuffs , straitjackets , cages , coffins , steel boxes , barrels , bags , burning buildings , fish-tanks and other fates , often in combination .  "
7,"Escapologists escape from handcuffs , straitjackets , cages , coffins , steel boxes , barrels , bags , burning buildings , fish-tanks and other difficulties , often in combination .   "
8,"Escapologists escape from handcuffs , straitjackets , cages , coffins , steel boxes , barrels , bags , burning buildings , fish-tanks and other risks , often in combination .  "
9,"Escapologists escape from handcuffs , straitjackets , cages , coffins , steel boxes , barrels , bags , burning buildings , fish-tanks and other restraints , often in combination . "
10,"Escapologists escape from handcuffs , straitjackets , cages , coffins , steel boxes , barrels , bags , burning buildings , fish-tanks and other troubles , often in combination .   "
